Year,Mo,Dy,Hr,Mn,Sec,Country,Location Name,Mag,Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Houses Damaged,Total Damage ($Mil),,,,,
1925,5,23,2,9,45,JAPAN,HONSHU,6.8,395,,,,3333,,,,,,,
1926,6,29,14,27,0,JAPAN,RYUKYU ISLANDS,7.5,,,,,,,,,,,,
1927,3,7,9,27,,JAPAN,HONSHU,7.3,3022,,3295,40,15594,9821,40,,,,,
1927,8,5,21,13,1.1,JAPAN,SANRIKU,6.9,,,,,,,,,,,,
1927,8,18,19,28,,JAPAN,KASHIMA,6.9,,,,,,,,,,,,
1929,5,21,16,35,,JAPAN,HIUGANADA,6.8,,,,,,,,,,,,
1930,11,25,19,2,47,JAPAN,HONSHU,7.1,259,,1285,,8099,,,,,,,
1931,3,9,3,48,0,JAPAN,HONSHU,7.7,,,,,,,,,,,,
1931,9,21,2,20,0,JAPAN,HONSHU,7,16,,,,,,,,,,,
1931,11,2,10,2,0,JAPAN,KYUSHU,7.5,1,,,,14,,,,,,,
1933,3,2,17,31,0,JAPAN,SANRIKU,8.4,,,,,,,,,,,,
1935,7,11,18,35,0,JAPAN,HONSHU,6.3,9,,,,,,,,,,,
1938,5,28,16,42,,JAPAN,HOKKAIDO ISLAND,6.1,,,,,,,,,,,,
1938,6,10,9,53,44.6,JAPAN,RYUKYU ISLANDS,7.6,,,,,,,,,,,,
1938,11,5,8,43,21,JAPAN,HONSHU,7.7,1,,,,20,,,,,,,
1938,11,5,10,50,15,JAPAN,HONSHU,7.6,,,,,,,,,,,,
1938,11,6,8,53,53,JAPAN,HONSHU,7.5,,,,,,,,,,,,
1938,11,6,21,38,47,JAPAN,HONSHU,7.1,,,,,,,,,,,,
1938,11,13,22,31,,JAPAN,SANRIKU,6,,,,,,,,,,,,
1939,3,20,3,22,,JAPAN,SEIKAIDO,6.6,,,,,,,,,,,,
1939,5,1,5,58,,JAPAN,HONSHU,7,27,,52,,479,,,,,,,
1940,8,1,15,8,24,JAPAN,HOKKAIDO ISLAND,7.5,,,,,,,,,,,,
1941,11,18,16,46,,JAPAN,SHIKOKU,7.4,,,,,,,,,,,,
1943,9,10,8,37,,JAPAN,HONSHU,7.4,1400,,,,7739,,,,,,,
1944,12,7,4,35,,JAPAN,KII PENINSULA,8.1,1223,,2135,,26146,,,,,,,
1945,1,12,18,38,,JAPAN,HONSHU,7.1,2306,,896,,7221,,,,,,,
1946,12,20,19,19,10,JAPAN,HONSHU,8.3,1362,,,,14259,,,,,,,
1947,11,4,0,9,10,JAPAN,HOKKAIDO ISLAND,7,,,,,,,,,,,,
1948,6,28,7,13,0,JAPAN,FUKUI,7.3,5131,,11000,1000,63000,18543,1000,,,,,
1952,3,4,1,22,41,JAPAN,HOKKAIDO,8.1,33,,,,,,,,,,,
1952,3,9,17,3,0,JAPAN,HOKKAIDO,7.1,,,17,,113,,,,,,,
1953,11,25,17,48,,JAPAN,KASHIMA,7.4,1,,,,,,,,,,,
1954,11,18,20,44,55,JAPAN,MIYAGI PREFECTURE,6.5,,,,,,,,,,,,
1956,8,12,16,59,37.6,JAPAN,IZU PENINSULA,6.5,,,,,,,,,,,,
1958,3,11,0,22,56,JAPAN,RYUKYU ISLANDS,7.5,,,,,,,,,,,,
1960,3,20,17,7,30,JAPAN,SANRIKU,7.5,,,,,,,,,,,,
1960,3,23,0,23,,JAPAN,SANRIKU,6.7,,,,,,,,,,,,
1960,7,29,17,31,45,JAPAN,SANRIKU,6.7,,,,,,,,,,,,
1961,2,26,18,10,48.7,JAPAN,MIYAZAKI,7.3,2,,7,,170,170,,,,,,
1961,8,19,5,33,0,JAPAN,HONSHU,7.3,10,,,,,,,,,,,
1962,4,12,0,52,43,JAPAN,SANRIKU,7.2,,,,,,,,,,,,
1962,4,30,2,26,30,JAPAN,SENDAI,6.8,1,,,,,,,,,,,
1962,5,21,12,21,,JAPAN,HONSHU ISLAND,5.7,,,,,,,,,,,,
1964,5,7,7,58,14.3,JAPAN,HONSHU ISLAND,6.9,,,,,2,,,,,,,
1964,5,7,20,13,,JAPAN,HONSHU ISLAND,6.6,,,,,,,,,,,,
1964,6,16,4,1,44.3,JAPAN,HONSHU,7.5,26,,450,80,2250,2250,80,,,,,
1965,4,19,23,41,58.8,JAPAN,SHIZOUKA PREFECTURES,6,1,,4,,,,,,,,,
1968,2,21,1,45,0,JAPAN,KYUSHU,6.3,3,,,,,,,,,,,
1968,4,1,0,42,4.2,JAPAN,"KYUSHU, SHIKOKU",7.5,1,,22,,,,,,,,,
1968,5,16,0,48,55.4,JAPAN,HONSHU ISLAND,8.2,52,,330,,689,,131,,,,,
1968,5,16,10,39,1.6,JAPAN,HONSHU ISLAND,7.5,,,,,,,,,,,,
1968,6,12,13,41,50.7,JAPAN,SANRIKU,7.2,,,,,,,,,,,,
1968,10,7,19,20,20.3,JAPAN,BONIN ISLANDS,7.5,,,,,,,,,,,,
1969,1,19,7,2,4.4,JAPAN,HOKKAIDO,7.6,,,,,,,,,,,,
1970,7,25,22,41,10.7,JAPAN,SEIKAIDO,7,,,13,,,,,,,,,
1971,8,2,7,24,56.8,JAPAN,JAPAN TRENCH,7.3,,,,,,,,,,,,
1972,2,29,9,22,59.8,JAPAN,HACHIJOJIMA,7.2,,,,,,,,,,,,
1972,12,4,10,16,12,JAPAN,HACHIJOJIMA,7.4,,,,,,,,,,,,
1973,6,17,3,55,2.9,JAPAN,HOKKAIDO ISLAND,7.7,,,27,5,2,,5,,,,,
1974,5,8,23,33,25.2,JAPAN,NAKAGI,6.5,30,,102,,134,,,,,,,
1974,8,3,18,16,34,JAPAN,MITO,5.7,2,,17,,,,,,,,,
1975,1,23,14,19,14.9,JAPAN,AROSAN,5.8,,,,,,,,,,,,
1975,4,20,17,35,50.4,JAPAN,OITA,6.1,,,8,,,,,,,,,
1978,1,14,3,24,39,JAPAN,TOKKAIDO,6.6,25,4,129,,85,544,,,,,,
1978,2,20,4,36,58.1,JAPAN,TOHOKU,6.1,,,30,,,,,,,,,
1978,6,3,20,3,52.5,JAPAN,HIROSHIMA,4.9,,,1,,,,,,,,,
1978,6,12,8,14,26.4,JAPAN,SANRIKU,7.7,28,,10000,865,,,865,,,,,
1979,2,20,6,32,32.2,JAPAN,IWATE,6.4,,,,,,,,,,,,
1980,6,29,7,20,5.5,JAPAN,HONSHU,6.2,,,7,,,,,,,,,
1980,9,24,17,54,24.1,JAPAN,YOKOHAMA,6,2,,73,1,,,1,,,,,
1981,1,18,18,17,24.4,JAPAN,HONSHU ISLAND,6.9,,,,,,,,,,,,
1982,3,21,2,32,7.7,JAPAN,"HOKKAIDO, URAKAWA, HIROO",6.7,110,,100,1,,,1,,,,,
1982,7,23,14,23,53.5,JAPAN,IBARAKI,6.8,,,,,,,,,,,,
1982,12,28,6,37,42.5,JAPAN,HONSHU ISLAND,6.1,,,,,,,,,,,,
1983,5,26,2,59,59.6,JAPAN,HONSHU,7.7,4,,324,800,,,800,,,,,
1983,6,9,12,49,3.8,JAPAN,NOSHIRO,5.9,,,,,,,,,,,,
1983,6,21,6,25,27.3,JAPAN,HONSHU ISLAND,6.9,,,,,,,,,,,,
1983,8,8,3,47,57.1,JAPAN,HONSHU,5.3,1,,28,,,,,,,,,
1983,10,3,13,33,35,JAPAN,MIYAKEJIMA,6,,,,,,,,,,,,
1983,10,30,16,51,57,JAPAN,TOTTORI,5.2,,,,,,,,,,,,
1984,6,13,2,29,25.3,JAPAN,OKINAWA,5.5,,,,,,,,,,,,
1984,8,6,19,6,38.3,JAPAN,KYUSHU,6.7,20,,,,,,,,,,,
1984,9,13,23,48,49.9,JAPAN,HONSHU,6.1,29,,,43,,,43,,,,,
