Year,Mo,Dy,Hr,Mn,Country,Location Name,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Houses Damaged,Total Damage ($Mil)
1927,3,7,9,27,JAPAN,HONSHU ISLAND,11.3,17,0.4,3022,,3295,,15594,9821,
1927,8,5,21,13,JAPAN,SANRIKU,0.1,5,-3.3,,,,,,,
1927,8,18,19,28,JAPAN,KASHIMA,0.4,2,-1.3,,,,,,,
1928,5,27,9,50,JAPAN,SANRIKU,0.45,8,-2.3,,,,,,,
1929,5,21,16,35,JAPAN,HIUGANADA,0.7,1,-0.5,,,,,,,
1931,3,9,3,49,JAPAN,SANRIKU,0.4,7,-1.3,,,,,,,
1931,11,2,10,2,JAPAN,SEIKAIDO,0.8,9,-0.3,1,,,,14,,
1933,3,2,17,31,JAPAN,SANRIKU,29,294,4.9,3022,,,,6000,,
1933,6,18,21,37,JAPAN,SANRIKU,0.2,8,-2.3,,,,,,,
1935,7,19,0,50,JAPAN,HONSHU,0.2,1,-2.3,,,,,,,
1935,10,12,16,45,JAPAN,SANRIKU,0.3,8,-1.7,,,,,,,
1935,10,18,0,11,JAPAN,SANRIKU,0.2,2,-2.3,,,,,,,
1936,11,2,20,46,JAPAN,SANRIKU,0.7,11,-0.5,,,,,,,
1938,5,23,7,18,JAPAN,HOKKAIDO ISLAND,0.83,7,-0.3,,,,,,,
1938,5,28,16,42,JAPAN,HOKKAIDO ISLAND,0.9,2,-0.1,1,,,,7,,
1938,6,10,9,53,JAPAN,RYUKYU ISLANDS,1.5,1,0.6,,,,,,,
1938,11,5,8,43,JAPAN,SANRIKU,0.57,17,0.1,1,,,,20,,
1938,11,5,10,50,JAPAN,SANRIKU,0.56,12,0.1,,,,,,,
1938,11,6,8,53,JAPAN,FUKUSHIMA PREFECTURE,1.26,15,0.4,,,,,,,
1938,11,6,21,38,JAPAN,FUKUSHIMA PREFECTURE,1.25,11,0.3,,,,,,,
1938,11,9,2,22,JAPAN,SANRIKU,,0,,,,,,,,
1938,11,13,22,31,JAPAN,SANRIKU,0.75,7,-0.5,,,,,,,
1938,11,16,11,8,JAPAN,SANRIKU,,0,,,,,,,,
1938,11,22,1,14,JAPAN,SANRIKU,0.3,4,-1.7,,,,,,,
1938,11,30,2,29,JAPAN,SANRIKU,0.2,9,-2.3,,,,,,,
1939,3,20,3,22,JAPAN,SEIKAIDO,0.8,4,-0.3,1,,,,1,,
1939,5,1,5,58,JAPAN,HONSHU ISLAND,1.2,25,-1.7,27,,52,,479,,
1940,8,1,15,8,JAPAN,HOKKAIDO ISLAND,5,62,1.8,10,,,,20,,
1941,11,18,16,46,JAPAN,SEIKAIDO,1.2,11,0.3,2,,,,27,,
1943,6,13,5,12,JAPAN,HOKKAIDO ISLAND,0.6,1,-0.7,,,,,,,
1944,12,7,4,35,JAPAN,KII PENINSULA,10,156,2.9,1223,,2135,,29205,46950,
1945,1,12,18,38,JAPAN,TOKAIDO,1,7,-0.7,2306,,896,,7221,,
1945,2,10,4,57,JAPAN,SANRIKU,0.4,1,-1.3,2,,,,2,,
1946,12,20,19,19,JAPAN,HONSHU,6.6,304,2.7,1362,,,,11661,,
1947,11,4,0,9,JAPAN,HOKKAIDO ISLAND,2,4,1,,,,,,,
1948,4,17,16,11,JAPAN,TOKAIDO,0.6,3,-0.7,,,,,,,
1952,3,4,1,22,JAPAN,HOKKAIDO ISLAND,6.54,219,2.7,33,,572,,2422,,
1952,3,9,17,4,JAPAN,HOKKAIDO ISLAND,0.3,4,-1.7,,,17,,113,,
1953,11,25,17,48,JAPAN,KASHIMA,3,33,1.5,1,,,,,,
1954,11,18,20,44,JAPAN,MIYAGI,,3,,,,,,,,
1956,3,5,23,29,JAPAN,HOKKAIDO ISLAND,0.4,1,-1.3,,,,,,,
1956,8,12,16,59,JAPAN,IZU PENINSULA,,1,-1,,,,,,,
1959,1,22,5,10,JAPAN,SANRIKU,0.8,9,-0.3,,,,,,,
1959,10,26,7,35,JAPAN,SANRIKU,0.11,8,-3.3,,,,,,,
1960,3,20,17,7,JAPAN,SANRIKU,1,19,0,,,,,,,
1960,3,23,0,23,JAPAN,SANRIKU,0.75,12,-1,,,,,,,
1960,7,29,17,31,JAPAN,SANRIKU,0.3,5,-1,,,,,,,
1961,1,16,7,20,JAPAN,KASHIMA,0.4,5,-1.3,,,,,,,
1961,1,16,11,19,JAPAN,KASHIMA,0.4,2,-1.3,,,,,,,
1961,1,16,12,12,JAPAN,KASHIMA,0.4,4,-1.3,,,,,,,
1961,2,26,18,10,JAPAN,SEIKAIDO,0.65,34,,2,,7,,170,,
1961,7,18,14,4,JAPAN,RYUKYU ISLANDS,0.2,6,-2.3,,,,,,,
1961,8,11,15,51,JAPAN,HOKKAIDO ISLAND,0.1,9,-3.3,,,,,,,
1961,11,15,7,17,JAPAN,HOKKAIDO ISLAND,0.1,9,-3.3,,,,,,,
1962,4,12,0,52,JAPAN,SANRIKU,1,12,,,,,,,,
1962,4,23,5,58,JAPAN,HOKKAIDO ISLAND,0.1,10,-3.3,,,,,,,
1962,5,21,12,21,JAPAN,HONSHU ISLAND,0.1,1,,,,,,,,
1964,5,7,7,58,JAPAN,HONSHU ISLAND,0.6,35,-0.1,,,,,,,
1964,5,7,20,13,JAPAN,HONSHU ISLAND,,2,,,,,,,,
1964,6,16,4,1,JAPAN,HONSHU ISLAND,5.8,168,2.7,26,,450,80,2250,,80
1964,12,10,15,11,JAPAN,HONSHU ISLAND,0.1,4,-3.3,,,,,,,
1965,4,19,23,42,JAPAN,AICHI PREFECTURE,0.1,2,,,,,,,,
1968,4,1,0,42,JAPAN,SEIKAIDO,3.07,62,1.3,1,,22,,,,
1968,5,16,0,48,JAPAN,HONSHU ISLAND,6,330,2.3,52,,330,,1218,,131
1968,5,16,10,39,JAPAN,HONSHU ISLAND,0.58,10,,,,,,,,
1968,6,12,13,41,JAPAN,SANRIKU,0.95,28,1.6,,,,,,,
1968,8,5,7,17,JAPAN,SEIKAIDO-NANKAIDO,0.03,1,,,,,,,,
1969,4,21,7,19,JAPAN,RYUKYU ISLANDS,0.1,6,-2.3,,,,,,,
1970,7,25,22,41,JAPAN,SEIKAIDO,0.32,35,-0.7,,,13,,,,
1971,8,2,7,24,JAPAN,JAPAN TRENCH,0.51,17,-2.3,,,,,,,
1972,2,29,9,22,JAPAN,HACHIJO ISLAND,0.42,28,-1.3,,,,,,,
1972,9,6,11,42,JAPAN,HACHIJOJIMA,,0,,,,,,,,
1972,12,4,10,16,JAPAN,CHICHI JIMA,0.5,39,-1,,,,,,,
1973,6,17,3,55,JAPAN,HOKKAIDO ISLAND,5.96,72,2.2,,,27,5,2,,5
1974,5,8,23,33,JAPAN,TOKAIDO,0.2,5,-2.3,30,,137,,134,,
1978,1,14,3,24,JAPAN,TOKAIDO,0.35,14,-0.7,25,,129,,85,544,
1978,6,12,8,14,JAPAN,SANRIKU,0.6,31,,28,,1000,,,,865
1979,2,20,6,32,JAPAN,IWATE,0.12,11,-1.7,,,,,,,
1980,6,29,7,20,JAPAN,HONSHU ISLAND,0.56,16,-0.7,,,7,,,,
1981,1,18,18,17,JAPAN,HONSHU ISLAND,0.37,28,-1.3,,,,,,,
1982,3,21,2,32,JAPAN,HOKKAIDO ISLAND,1.3,31,0.4,110,,100,,,,1
1982,7,23,14,23,JAPAN,IBARAKI,0.4,22,-1.3,,,,,,,
1982,12,28,6,37,JAPAN,HONSHU ISLAND,0.19,1,-1.3,,,,,,,
1983,5,26,2,59,JAPAN,NOSHIRO,14.93,235,3.9,104,,324,800,3513,,800
1983,6,9,12,49,JAPAN,NOSHIRO,0.6,1,,,,,,,,
1983,6,21,6,25,JAPAN,HONSHU ISLAND,1,27,,,,,,,,
1984,6,13,2,29,JAPAN,OKINAWA,0.5,9,0.6,,,,,,,
1984,8,6,19,6,JAPAN,KYUSHU,0.2,6,-2.3,,,9,,,,
1984,9,18,17,2,JAPAN,HONSHU ISLAND,0.13,12,-3.3,,,,,,,
1987,2,6,13,16,JAPAN,HONSHU ISLAND,0.1,3,-3.3,,,,,,,
1987,3,18,3,36,JAPAN,KYUSHU ISLAND,0.04,1,-3.3,2,,5,,,,
1987,3,24,12,49,JAPAN,HONSHU ISLAND,0.16,3,,,,,,,,
1989,10,29,5,25,JAPAN,HONSHU ISLAND,0.11,4,,,,,,,,
1989,11,1,18,25,JAPAN,AOMORI PREFECTURE,0.9,12,-0.7,,,,,,,
1990,2,20,6,53,JAPAN,BONIN ISLANDS,0.16,1,-1.7,,,,,,,
1990,9,23,21,13,JAPAN,BONIN ISLANDS,0.2,4,,,,,,,,
1992,7,18,8,36,JAPAN,HONSHU ISLAND,0.3,4,-2.3,,,,,,,
1992,8,11,15,14,JAPAN,HONSHU,,0,,,,,,,,
1993,2,7,13,27,JAPAN,HONSHU ISLAND,0.5,1,-1,,,,,,,
1993,7,12,13,17,JAPAN,HOKKAIDO ISLAND,32,196,5,231,,233,1207,2374,,1207
1993,8,7,19,42,JAPAN,KOBE,0.16,1,,,,,,,,
1994,4,8,1,10,JAPAN,HOKKAIDO ISLAND,0.11,3,-2.3,,,,,,,
1994,12,28,12,19,JAPAN,TOHUKU,0.53,13,,3,,200,,,,170.4
1995,1,16,20,46,JAPAN,KOBE,0.34,2,-2.3,6434,,43792,,186175,274182,100000
1995,10,18,10,37,JAPAN,RYUKYU ISLANDS,2.59,42,0.8,,,1,,,,
1995,10,19,2,41,JAPAN,RYUKYU ISLANDS,1.5,16,0.6,,,,,,,
1996,9,4,18,16,JAPAN,HONSHU ISLAND,0.3,14,-2.3,,,,,,,
1996,10,18,10,50,JAPAN,KYUSHU ISLAND,0.2,1,-2.3,,,,,,,
1996,10,19,14,44,JAPAN,KYUSHU ISLAND,0.55,6,0.1,,,,,,,
1996,12,2,22,17,JAPAN,KYUSHU ISLAND,0.2,4,-2.3,,,,,,,
1997,9,30,6,27,JAPAN,HONSHU ISLAND,0.03,1,,,,,,,,
1998,5,30,18,18,JAPAN,SANRIKU,0.01,0,,,,,,,,
2000,7,1,7,1,JAPAN,KOZU-SHIMA ISLAND,0.07,4,,1,,,,,,
2000,7,15,1,30,JAPAN,HONSHU,0.07,1,,,,10,,,20,
2000,7,30,12,25,JAPAN,HONSHU,0.14,1,,,,1,,,,
2002,3,26,3,45,JAPAN,RYUKYU ISLANDS,0.05,3,,,,,,,,
2003,9,25,19,50,JAPAN,HOKKAIDO ISLAND,4.4,268,,2,,849,,,,90
2003,10,31,1,6,JAPAN,HONSHU ISLAND,0.32,4,,,,,,,,
2004,9,5,10,7,JAPAN,HONSHU ISLAND,0.63,12,,,,4,,,,
2004,9,5,14,57,JAPAN,HONSHU ISLAND,0.93,24,,,,40,,,,
2004,11,28,18,32,JAPAN,HOKKAIDO ISLAND,0.12,2,,,,24,,,,
2005,1,19,6,11,JAPAN,HONSHU ISLAND,0.39,11,,,,,,,,
2005,8,16,2,46,JAPAN,HONSHU ISLAND,0.05,1,,,,56,,1,,
2005,11,14,21,38,JAPAN,HONSHU ISLAND,0.42,1,,,,,,,,
2006,1,1,7,11,JAPAN,HONSHU ISLAND,,0,,,,,,,,
2006,10,23,21,17,JAPAN,IZU ISLANDS,0.16,5,,,,,,,,
2007,3,25,0,41,JAPAN,HONSHU,0.1,3,,1,,359,,13556,,
2007,7,16,1,13,JAPAN,HONSHU,,1,,9,,1088,,875,,
2008,6,13,23,43,JAPAN,ARATOZAWA,2.5,0,,23,,357,,,614,
2008,7,19,2,39,JAPAN,HONSHU ISLAND,0.2,3,,,,,,,,
2008,9,11,0,20,JAPAN,HOKKAIDO ISLAND,0.09,1,,6,,77,,,1000,
2009,8,10,20,7,JAPAN,HONSHU,0.6,5,,1,,123,,5192,,
2010,2,26,20,31,JAPAN,RYUKYU ISLANDS,0.1,2,,,,,,,,
2010,12,21,17,19,JAPAN,BONIN ISLANDS,0.13,4,,,,,,,,
2011,3,9,2,45,JAPAN,HONSHU ISLAND,0.6,11,,,,,,,,
2011,3,11,5,46,JAPAN,HONSHU ISLAND,39.26,6418,,18428,,6167,220136.6,123661,280920,220136.6
2011,4,7,14,32,JAPAN,HONSHU ISLAND,0.08,1,,3,,132,,,,
2011,7,10,0,57,JAPAN,HONSHU ISLAND,0.09,1,,,,,,,,
2012,3,14,9,8,JAPAN,HOKKAIDO ISLAND,0.2,2,,,,,,,,
2012,12,7,8,18,JAPAN,HONSHU ISLAND,1,3,,,,11,,,,
2013,10,25,17,10,JAPAN,HONSHU ISLAND,0.4,9,,,,1,,,,
2014,7,11,19,23,JAPAN,SANRIKU,0.2,6,,,,,,,,
2015,2,16,23,6,JAPAN,HONSHU,0.27,3,,,,,,,,
2015,5,2,16,50,JAPAN,HONSHU ISLAND,0.6,16,,,,,,,,
2015,11,13,20,51,JAPAN,KYUSYU ISLAND,0.3,1,,,,,,,,
2016,8,20,9,1,JAPAN,SANRIKU,0.01,0,,,,,,,,
2016,11,21,20,59,JAPAN,HONSHU ISLAND,1.44,44,,,,,,,,
2018,5,6,6,3,JAPAN,HONSHU ISLAND,0.15,1,,,,,,,,
2019,6,18,13,22,JAPAN,NIIGATA,0.11,8,,,,28,,,144,
2021,2,13,14,7,JAPAN,FUKUSHIMA PREFECTURE,0.1,4,,1,,186,,798,19758,7700
2022,3,16,14,36,JAPAN,FUKUSHIMA PREFECTURE,0.31,11,,4,,247,,217,56718,8800
2023,5,5,5,42,JAPAN,NOTO PENINSULA,0.1,2,,1,,34,,3,351,
2023,10,5,1,59,JAPAN,IZU ISLANDS,0.3,1,,,,,,,,
2024,1,1,7,10,JAPAN,HONSHU,6.2,100,,245,3,1313,,28998,94558,17600
